team,season_year,home_games,away_games,home_win_pct,away_win_pct,home_avg_score,away_avg_score
Phoenix Suns,2003,46,44,58.7,27.3,97.8,93.7
Memphis Grizzlies,2003,39,45,56.4,28.9,101.9,94.2
Chicago Bulls,2003,41,42,53.7,14.3,94.1,92.1
Denver Nuggets,2003,42,42,52.4,19.0,93.2,88.1
Toronto Raptors,2003,41,41,51.2,29.3,92.6,86.5
Philadelphia 76ers,2003,47,49,51.1,51.0,94.3,94.3
Boston Celtics,2003,47,48,51.1,43.8,93.0,92.2
Miami Heat,2003,41,44,48.8,18.2,87.9,83.3
Atlanta Hawks,2003,43,43,48.8,25.6,95.3,90.0
Los Angeles Clippers,2003,40,40,47.5,22.5,97.2,93.8
Washington Wizards,2003,38,44,47.4,31.8,92.3,89.0
Orlando Magic,2003,45,45,44.4,33.3,97.0,93.7
Cleveland Cavaliers,2003,40,43,42.5,14.0,95.0,88.6
New Jersey Nets,2002,58,47,82.8,40.4,101.7,91.2
Sacramento Kings,2002,48,50,79.2,66.0,105.0,101.8
New Orleans Hornets,2002,14,19,78.6,36.8,96.9,91.7
Dallas Mavericks,2002,45,45,75.6,68.9,105.0,106.2
Portland Trail Blazers,2002,40,46,75.0,52.2,98.7,93.7
San Antonio Spurs,2002,46,50,73.9,52.0,95.0,91.9
Los Angeles Lakers,2002,49,57,73.5,50.9,99.6,98.5
Indiana Pacers,2002,42,43,69.0,46.5,97.6,95.7
Orlando Magic,2002,44,43,68.2,41.9,102.0,96.9
Philadelphia 76ers,2002,46,42,67.4,50.0,95.5,90.5
Detroit Pistons,2002,50,44,66.0,59.1,92.4,90.9
Boston Celtics,2002,53,47,66.0,51.1,96.4,94.5
Minnesota Timberwolves,2002,43,44,65.1,43.2,100.1,95.3
Utah Jazz,2002,40,45,62.5,46.7,97.1,93.4
Phoenix Suns,2002,40,42,62.5,28.6,93.8,90.3
Atlanta Hawks,2002,42,40,59.5,22.5,98.3,89.1
Houston Rockets,2002,41,40,58.5,30.0,93.8,92.0
Charlotte Hornets,2002,33,28,57.6,57.1,97.4,90.5
Washington Wizards,2002,44,39,56.8,25.6,97.0,87.5
Seattle SuperSonics,2002,39,48,56.4,52.1,94.2,95.8
Milwaukee Bucks,2002,43,42,53.5,31.0,101.0,95.5
Miami Heat,2002,41,42,51.2,47.6,89.8,86.3
Toronto Raptors,2002,44,44,50.0,31.8,91.2,88.4
Los Angeles Clippers,2002,38,46,47.4,39.1,93.6,94.3
New York Knicks,2002,41,38,41.5,26.3,93.0,92.6
Chicago Bulls,2002,44,40,40.9,20.0,93.7,92.0
Cleveland Cavaliers,2002,42,43,40.5,14.0,96.7,92.4
Denver Nuggets,2002,40,43,40.0,16.3,88.8,86.4
Memphis Grizzlies,2002,43,40,39.5,15.0,94.0,88.8
Golden State Warriors,2002,43,39,37.2,12.8,101.0,97.7
Los Angeles Lakers,2001,50,43,82.0,67.4,101.7,99.3
Milwaukee Bucks,2001,47,52,80.9,50.0,101.2,98.3
Sacramento Kings,2001,48,46,79.2,50.0,104.7,99.5
Minnesota Timberwolves,2001,41,43,78.0,44.2,101.0,96.0
San Antonio Spurs,2001,49,44,77.6,65.9,99.4,96.0
Dallas Mavericks,2001,46,44,71.7,56.8,104.2,98.3
New York Knicks,2001,45,41,68.9,31.7,91.1,88.1
Phoenix Suns,2001,44,45,68.2,48.9,97.3,94.0
Utah Jazz,2001,46,41,67.4,48.8,98.9,93.5
Toronto Raptors,2001,44,50,65.9,50.0,97.8,95.0
Indiana Pacers,2001,44,44,65.9,40.9,96.3,92.2
Los Angeles Clippers,2001,45,35,64.4,20.0,96.2,92.8
Philadelphia 76ers,2001,55,51,63.6,47.1,95.7,88.4
Seattle SuperSonics,2001,43,39,62.8,41.0,97.7,96.8
New Jersey Nets,2001,37,44,62.2,29.5,98.1,92.6
Orlando Magic,2001,42,46,61.9,41.3,102.2,97.2
Denver Nuggets,2001,41,39,61.0,23.1,95.7,94.1
Portland Trail Blazers,2001,43,40,60.5,40.0,96.7,91.8
Boston Celtics,2001,36,45,58.3,46.7,94.3,95.5
Houston Rockets,2001,42,42,54.8,40.5,96.6,94.9
Charlotte Hornets,2001,42,49,54.8,44.9,93.8,92.4
Miami Heat,2001,43,39,53.5,38.5,87.7,85.8
Detroit Pistons,2001,38,41,50.0,36.6,95.1,95.0
Atlanta Hawks,2001,40,42,50.0,14.3,99.3,88.4
Vancouver Grizzlies,2001,23,29,43.5,17.2,93.8,92.3
Cleveland Cavaliers,2001,44,40,40.9,20.0,94.7,89.6
Washington Wizards,2001,40,41,40.0,31.7,96.8,91.4
Memphis Grizzlies,2001,15,15,40.0,20.0,91.6,88.6
Chicago Bulls,2001,40,41,32.5,7.3,86.9,87.9
Golden State Warriors,2001,40,42,27.5,19.0,92.4,91.2
Los Angeles Lakers,2000,53,54,83.0,64.8,104.5,99.3
Indiana Pacers,2000,54,53,75.9,39.6,99.9,96.1
Sacramento Kings,2000,45,43,75.6,34.9,104.9,99.8
San Antonio Spurs,2000,44,41,75.0,46.3,97.0,92.6
Phoenix Suns,2000,44,46,75.0,52.2,97.5,93.4
New York Knicks,2000,52,47,75.0,44.7,90.7,87.9
Portland Trail Blazers,2000,50,50,74.0,62.0,96.5,96.5
Miami Heat,2000,49,47,73.5,44.7,93.4,86.8
Philadelphia 76ers,2000,42,47,71.4,59.6,97.7,94.2
Utah Jazz,2000,47,48,70.2,58.3,100.5,92.7
Charlotte Hornets,2000,43,45,69.8,48.9,96.3,93.1
Orlando Magic,2000,43,40,67.4,27.5,101.7,92.4
Minnesota Timberwolves,2000,44,46,65.9,56.5,97.9,97.4
Dallas Mavericks,2000,43,41,62.8,58.5,101.1,99.3
Toronto Raptors,2000,42,44,61.9,38.6,95.6,95.2
Seattle SuperSonics,2000,42,46,61.9,43.5,100.9,96.3
Denver Nuggets,2000,42,43,59.5,25.6,101.7,96.2
Cleveland Cavaliers,2000,37,44,59.5,31.8,96.5,92.7
Detroit Pistons,2000,43,44,58.1,34.1,101.1,98.5
Milwaukee Bucks,2000,44,42,56.8,42.9,99.0,100.2
Boston Celtics,2000,44,40,56.8,25.0,99.5,97.0
Houston Rockets,2000,41,40,56.1,37.5,99.0,97.3
Atlanta Hawks,2000,40,43,45.0,20.9,92.5,86.9
New Jersey Nets,2000,40,42,42.5,26.2,97.7,92.5
Golden State Warriors,2000,42,41,38.1,17.1,99.5,92.3
Washington Wizards,2000,41,42,36.6,23.8,97.2,93.6
Chicago Bulls,2000,43,42,30.2,16.7,85.4,84.1
Vancouver Grizzlies,2000,43,40,27.9,30.0,91.4,94.5
Los Angeles Clippers,2000,44,40,25.0,12.5,93.3,89.8
San Antonio Spurs,1999,47,51,85.1,64.7,93.1,92.8
Utah Jazz,1999,45,44,82.2,52.3,95.3,90.7
Portland Trail Blazers,1999,45,47,82.2,57.4,96.5,91.9
Los Angeles Lakers,1999,46,42,76.1,57.1,101.5,94.2
Indiana Pacers,1999,46,46,76.1,58.7,97.5,96.1
Charlotte Hornets,1999,40,39,72.5,38.5,97.3,95.0
New York Knicks,1999,47,53,72.3,43.4,90.4,85.1
Miami Heat,1999,41,42,70.7,59.5,92.7,89.9
Detroit Pistons,1999,41,43,70.7,39.5,95.7,92.7
Sacramento Kings,1999,40,42,70.0,42.9,102.2,100.5
Orlando Magic,1999,40,43,70.0,48.8,96.6,91.1
Seattle SuperSonics,1999,40,40,67.5,40.0,96.6,96.5
Phoenix Suns,1999,43,39,67.4,41.0,98.3,96.6
Milwaukee Bucks,1999,40,43,65.0,44.2,95.7,95.0
Philadelphia 76ers,1999,44,46,63.6,43.5,91.1,89.1
Minnesota Timberwolves,1999,41,40,63.4,32.5,93.8,93.3
Atlanta Hawks,1999,45,43,62.2,39.5,93.5,86.5
Houston Rockets,1999,42,42,61.9,38.1,98.0,93.4
Cleveland Cavaliers,1999,42,37,59.5,24.3,94.5,87.0
Denver Nuggets,1999,41,37,58.5,13.5,100.7,89.0
Toronto Raptors,1999,40,39,57.5,43.6,92.8,94.6
Dallas Mavericks,1999,38,42,52.6,19.0,96.8,93.6
New Jersey Nets,1999,43,37,51.2,16.2,95.0,90.6
Boston Celtics,1999,40,38,50.0,28.9,94.6,94.6
Washington Wizards,1999,39,41,46.2,24.4,93.2,90.3
Golden State Warriors,1999,40,39,40.0,28.2,92.3,88.9
Los Angeles Clippers,1999,39,40,30.8,15.0,92.3,89.3
Vancouver Grizzlies,1999,41,38,29.3,5.3,92.5,87.7
Chicago Bulls,1999,37,40,27.0,12.5,81.2,84.3
Utah Jazz,1998,38,34,86.8,67.6,100.9,97.4
Chicago Bulls,1998,37,36,86.5,69.4,98.6,95.6
Indiana Pacers,1998,35,34,82.9,58.8,95.4,94.9
Seattle SuperSonics,1998,33,29,78.8,51.7,99.5,98.9
Los Angeles Lakers,1998,33,32,75.8,62.5,107.7,101.3
San Antonio Spurs,1998,30,32,73.3,62.5,92.4,90.9
Charlotte Hornets,1998,30,32,73.3,46.9,95.4,93.4
Phoenix Suns,1998,28,31,71.4,61.3,100.4,96.7
Cleveland Cavaliers,1998,29,29,69.0,37.9,95.1,89.2
Atlanta Hawks,1998,29,28,69.0,42.9,97.4,96.0
Minnesota Timberwolves,1998,28,30,67.9,43.3,100.8,100.5
Miami Heat,1998,29,29,65.5,62.1,94.0,93.0
Detroit Pistons,1998,24,27,62.5,29.6,99.5,93.1
Orlando Magic,1998,26,26,61.5,30.8,92.7,86.1
Portland Trail Blazers,1998,28,30,60.7,40.0,95.7,92.6
New York Knicks,1998,33,30,60.6,33.3,94.0,87.6
Washington Wizards,1998,28,22,57.1,45.5,98.6,95.2
Boston Celtics,1998,25,29,56.0,27.6,98.8,93.8
Philadelphia 76ers,1998,27,27,55.6,33.3,93.4,94.9
New Jersey Nets,1998,29,27,55.2,40.7,102.0,98.3
Houston Rockets,1998,28,33,53.6,39.4,97.0,95.5
Sacramento Kings,1998,25,26,48.0,15.4,96.3,90.5
Milwaukee Bucks,1998,25,28,44.0,39.3,94.9,94.9
Dallas Mavericks,1998,24,28,41.7,17.9,94.5,91.2
Toronto Raptors,1998,27,25,25.9,20.0,96.5,96.4
Los Angeles Clippers,1998,27,25,25.9,16.0,96.3,96.6
Golden State Warriors,1998,28,26,25.0,19.2,89.2,87.1
Denver Nuggets,1998,28,26,25.0,7.7,90.7,86.4
Vancouver Grizzlies,1998,26,26,23.1,11.5,99.3,96.9
Chicago Bulls,1997,53,47,94.3,57.4,101.2,95.2
Utah Jazz,1997,49,54,89.8,55.6,102.2,99.6
New York Knicks,1997,41,51,78.0,52.9,95.1,93.2
Atlanta Hawks,1997,49,45,77.6,55.6,94.8,94.6
Miami Heat,1997,53,45,77.4,55.6,97.9,90.8
Seattle SuperSonics,1997,47,45,76.6,66.7,103.6,98.9
Charlotte Hornets,1997,45,40,75.6,55.0,103.8,96.3
Los Angeles Lakers,1997,44,46,75.0,60.9,104.1,99.3
Portland Trail Blazers,1997,43,40,72.1,52.5,99.4,95.8
Phoenix Suns,1997,43,42,69.8,47.6,104.4,103.1
Houston Rockets,1997,49,45,69.4,51.1,103.3,98.2
Orlando Magic,1997,45,46,66.7,52.2,96.9,92.5
Detroit Pistons,1997,44,45,63.6,44.4,94.5,91.2
Washington Bullets,1997,27,29,63.0,41.4,102.3,98.6
Washington Wizards,1997,13,19,61.5,42.1,100.2,95.3
Indiana Pacers,1997,44,39,61.4,46.2,97.5,94.8
Sacramento Kings,1997,41,41,53.7,24.4,97.0,95.4
Minnesota Timberwolves,1997,43,41,53.5,48.8,98.7,98.5
Cleveland Cavaliers,1997,38,43,52.6,46.5,89.4,86.3
Milwaukee Bucks,1997,40,42,52.5,26.2,95.8,92.6
New Jersey Nets,1997,41,43,51.2,30.2,98.8,98.1
San Antonio Spurs,1997,43,41,46.5,26.8,92.3,91.7
Los Angeles Clippers,1997,40,45,45.0,28.9,98.8,97.0
Golden State Warriors,1997,39,42,41.0,23.8,96.8,95.1
Boston Celtics,1997,43,40,37.2,17.5,100.8,99.9
Toronto Raptors,1997,38,45,28.9,28.9,93.9,97.2
Vancouver Grizzlies,1997,40,41,27.5,17.1,92.8,90.2
Philadelphia 76ers,1997,41,41,26.8,24.4,99.6,98.2
Denver Nuggets,1997,40,40,25.0,12.5,98.4,93.7
Dallas Mavericks,1997,46,39,23.9,20.5,90.9,86.8
Chicago Bulls,1996,51,52,94.1,78.8,103.2,102.1
Utah Jazz,1996,53,47,86.8,44.7,102.9,96.6
Seattle SuperSonics,1996,52,55,82.7,63.6,103.3,99.3
Detroit Pistons,1996,41,44,78.0,47.7,96.8,91.7
Atlanta Hawks,1996,41,50,75.6,44.0,97.5,92.0
Los Angeles Lakers,1996,44,42,75.0,64.3,101.8,101.2
Orlando Magic,1996,45,46,71.1,47.8,102.1,96.6
San Antonio Spurs,1996,45,47,66.7,46.8,99.4,96.6
Indiana Pacers,1996,42,46,66.7,52.2,97.1,95.8
Cleveland Cavaliers,1996,44,43,65.9,51.2,91.0,89.0
New York Knicks,1996,46,45,65.2,51.1,96.3,93.1
Portland Trail Blazers,1996,43,46,65.1,47.8,97.8,96.6
Houston Rockets,1996,47,43,61.7,55.8,102.5,99.3
Miami Heat,1996,40,47,57.5,57.4,97.7,92.7
Charlotte Hornets,1996,40,41,57.5,48.8,99.5,97.9
Phoenix Suns,1996,42,46,57.1,32.6,102.3,100.9
Washington Bullets,1996,42,41,54.8,39.0,102.2,96.6
Sacramento Kings,1996,44,47,54.5,25.5,98.7,94.1
Golden State Warriors,1996,43,39,53.5,30.8,101.1,97.5
Minnesota Timberwolves,1996,42,43,52.4,20.9,97.6,94.2
Denver Nuggets,1996,43,40,46.5,25.0,98.7,92.7
Los Angeles Clippers,1996,44,38,43.2,26.3,98.4,94.9
New Jersey Nets,1996,43,39,41.9,25.6,94.0,93.3
Dallas Mavericks,1996,41,41,41.5,26.8,100.9,100.4
Boston Celtics,1996,39,42,41.0,26.2,102.2,98.9
Milwaukee Bucks,1996,45,39,40.0,30.8,97.0,95.0
Toronto Raptors,1996,43,38,39.5,13.2,96.1,94.1
Philadelphia 76ers,1996,41,42,26.8,23.8,92.9,96.1
Vancouver Grizzlies,1996,43,40,25.6,12.5,89.5,87.8
Orlando Magic,1995,55,48,89.1,39.6,108.4,103.4
Chicago Bulls,1995,46,46,82.6,52.2,103.7,101.6
Utah Jazz,1995,44,44,81.8,61.4,109.8,101.5
San Antonio Spurs,1995,48,51,79.2,72.5,106.4,103.0
Indiana Pacers,1995,51,49,78.4,40.8,101.8,97.2
Seattle SuperSonics,1995,42,45,76.2,62.2,109.4,109.0
Los Angeles Lakers,1995,50,47,72.0,34.0,104.8,100.0
Charlotte Hornets,1995,44,44,70.5,40.9,104.8,97.1
New York Knicks,1995,50,44,70.0,68.2,98.8,97.3
Houston Rockets,1995,51,56,66.7,57.1,105.2,104.8
Sacramento Kings,1995,41,40,65.9,35.0,100.7,97.6
Phoenix Suns,1995,48,43,64.6,60.5,111.4,106.0
Portland Trail Blazers,1995,41,47,61.0,38.3,106.4,100.1
Miami Heat,1995,41,42,61.0,31.0,101.2,96.0
Detroit Pistons,1995,45,40,60.0,17.5,97.5,97.4
Cleveland Cavaliers,1995,44,41,56.8,34.1,92.3,87.7
Denver Nuggets,1995,39,48,56.4,37.5,103.7,96.3
Atlanta Hawks,1995,43,41,55.8,46.3,99.6,98.0
Milwaukee Bucks,1995,42,40,52.4,32.5,99.7,96.3
New Jersey Nets,1995,37,41,51.4,22.0,97.3,95.4
Boston Celtics,1995,46,40,47.8,37.5,103.3,102.2
Toronto Raptors,1995,15,15,46.7,13.3,98.8,97.1
Los Angeles Clippers,1995,39,44,46.2,13.6,101.3,96.3
Washington Bullets,1995,44,40,45.5,22.5,104.7,100.5
Dallas Mavericks,1995,39,45,43.6,31.1,102.0,100.7
Minnesota Timberwolves,1995,41,42,39.0,14.3,98.1,94.7
Golden State Warriors,1995,41,43,36.6,30.2,105.3,104.7
Philadelphia 76ers,1995,41,40,31.7,15.0,97.5,92.7
Vancouver Grizzlies,1995,14,16,28.6,6.3,91.0,90.4
Seattle SuperSonics,1994,45,44,88.9,47.7,109.2,102.2
Indiana Pacers,1994,47,51,85.1,47.1,103.3,95.3
Phoenix Suns,1994,46,48,84.8,47.9,110.5,106.3
Orlando Magic,1994,43,43,81.4,51.2,109.7,107.5
Houston Rockets,1994,57,47,77.2,48.9,102.5,98.5
New York Knicks,1994,52,57,76.9,49.1,98.2,94.6
Cleveland Cavaliers,1994,42,44,76.2,52.3,102.2,95.0
San Antonio Spurs,1994,44,38,75.0,52.6,105.2,100.8
Utah Jazz,1994,49,49,73.5,49.0,105.2,98.3
Atlanta Hawks,1994,49,47,73.5,40.4,103.1,92.9
Golden State Warriors,1994,41,44,73.2,36.4,114.4,106.5
Chicago Bulls,1994,49,44,69.4,54.5,100.6,95.6
Portland Trail Blazers,1994,44,40,68.2,35.0,107.5,105.0
New Jersey Nets,1994,44,46,68.2,37.0,105.9,98.8
Charlotte Hornets,1994,39,43,64.1,37.2,107.0,102.0
Denver Nuggets,1994,49,45,63.3,37.8,104.7,97.3
Los Angeles Lakers,1994,39,41,61.5,41.5,102.9,102.2
Sacramento Kings,1994,43,39,60.5,23.1,100.5,99.7
Miami Heat,1994,41,48,56.1,37.5,105.5,100.4
Boston Celtics,1994,40,41,40.0,36.6,100.0,102.1
Washington Bullets,1994,39,41,38.5,19.5,103.1,97.6
Philadelphia 76ers,1994,41,42,34.1,26.2,99.8,96.4
Milwaukee Bucks,1994,41,40,31.7,20.0,98.4,98.3
Dallas Mavericks,1994,42,39,31.0,28.2,98.1,100.3
Minnesota Timberwolves,1994,40,40,30.0,15.0,94.3,96.0
Detroit Pistons,1994,39,42,28.2,23.8,97.8,98.2
Los Angeles Clippers,1994,41,43,26.8,20.9,101.2,100.2
New York Knicks,1993,49,46,85.7,58.7,103.0,99.9
Houston Rockets,1993,45,52,82.2,65.4,107.1,99.4
Seattle SuperSonics,1993,51,49,80.4,57.1,109.9,102.7
Phoenix Suns,1993,56,51,78.6,60.8,111.9,109.2
Denver Nuggets,1993,41,42,78.0,26.2,107.6,100.1
Cleveland Cavaliers,1993,45,44,77.8,38.6,109.0,98.5
Chicago Bulls,1993,49,51,77.6,60.8,107.1,99.9
San Antonio Spurs,1993,48,47,77.1,44.7,106.3,96.8
Atlanta Hawks,1993,40,44,75.0,45.5,111.7,101.1
Utah Jazz,1993,44,45,72.7,42.2,104.4,102.5
Portland Trail Blazers,1993,43,46,69.8,47.8,106.8,106.6
Charlotte Hornets,1993,47,45,66.0,42.2,110.9,106.3
Orlando Magic,1993,41,45,65.9,37.8,105.4,102.9
New Jersey Nets,1993,43,43,65.1,27.9,102.7,98.6
Boston Celtics,1993,45,41,64.4,48.8,105.2,100.6
Miami Heat,1993,43,38,62.8,34.2,105.7,101.1
Indiana Pacers,1993,42,42,61.9,31.0,107.1,102.4
Los Angeles Clippers,1993,43,44,60.5,29.5,105.1,102.6
Detroit Pistons,1993,44,39,54.5,25.6,101.9,97.3
Golden State Warriors,1993,43,38,44.2,36.8,105.7,105.1
Philadelphia 76ers,1993,42,42,42.9,23.8,101.6,100.1
Los Angeles Lakers,1993,41,48,39.0,39.6,102.4,102.0
Washington Bullets,1993,41,41,34.1,19.5,102.9,98.0
Sacramento Kings,1993,41,42,34.1,21.4,106.1,106.4
Milwaukee Bucks,1993,41,43,34.1,25.6,101.0,99.6
Minnesota Timberwolves,1993,43,43,27.9,23.3,96.7,98.6
Dallas Mavericks,1993,42,42,11.9,14.3,98.0,96.0
Phoenix Suns,1992,45,41,91.1,43.9,118.6,109.2
Utah Jazz,1992,52,41,84.6,46.3,110.7,103.0
Portland Trail Blazers,1992,49,50,83.7,54.0,113.0,108.9
Chicago Bulls,1992,53,51,83.0,68.6,107.0,104.3
Cleveland Cavaliers,1992,51,49,76.5,51.0,110.8,104.1
Seattle SuperSonics,1992,46,43,76.1,44.2,111.0,105.2
Boston Celtics,1992,44,48,75.0,35.4,109.4,100.3
Los Angeles Clippers,1992,39,44,74.4,38.6,107.3,103.8
New York Knicks,1992,48,47,72.9,46.8,100.3,97.0
San Antonio Spurs,1992,42,40,71.4,37.5,107.7,103.5
Houston Rockets,1992,40,38,70.0,31.6,105.7,99.1
Golden State Warriors,1992,42,45,69.0,51.1,119.2,116.3
Detroit Pistons,1992,39,44,66.7,52.3,97.9,96.5
New Jersey Nets,1992,41,44,63.4,45.5,106.0,104.7
Indiana Pacers,1992,39,44,59.0,40.9,110.5,110.3
Charlotte Hornets,1992,39,39,59.0,35.9,111.5,109.7
Los Angeles Lakers,1992,44,39,56.8,43.6,103.9,99.8
Milwaukee Bucks,1992,39,41,56.4,14.6,106.9,98.4
Miami Heat,1992,41,40,56.1,22.5,108.9,100.1
Sacramento Kings,1992,42,38,52.4,23.7,108.2,104.4
Atlanta Hawks,1992,41,40,51.2,40.0,106.3,105.3
Orlando Magic,1992,38,39,47.4,25.6,104.2,104.6
Philadelphia 76ers,1992,39,39,46.2,30.8,104.5,102.6
Washington Bullets,1992,41,40,39.0,15.0,105.8,100.4
Denver Nuggets,1992,37,43,37.8,11.6,102.9,99.1
Dallas Mavericks,1992,38,39,26.3,5.1,101.5,94.3
Minnesota Timberwolves,1992,38,41,21.1,19.5,101.7,101.2
Utah Jazz,1991,41,52,90.2,40.4,109.3,102.3
Chicago Bulls,1991,48,50,87.5,76.0,110.3,107.7
Portland Trail Blazers,1991,52,44,80.8,50.0,113.7,106.7
Boston Celtics,1991,46,48,78.3,43.8,114.9,104.5
Phoenix Suns,1991,41,47,78.0,53.2,115.1,105.7
San Antonio Spurs,1991,43,47,76.7,42.6,110.3,99.0
Cleveland Cavaliers,1991,40,41,75.0,26.8,107.8,100.8
Los Angeles Lakers,1991,51,53,74.5,60.4,106.1,101.5
Seattle SuperSonics,1991,44,44,72.7,31.8,109.3,101.8
Houston Rockets,1991,42,43,71.4,51.2,104.9,103.2
Atlanta Hawks,1991,43,44,69.8,29.5,111.6,104.1
Golden State Warriors,1991,45,45,68.9,46.7,118.5,113.5
New York Knicks,1991,41,43,68.3,39.5,104.3,100.8
Milwaukee Bucks,1991,42,42,66.7,31.0,109.8,102.9
Indiana Pacers,1991,45,43,66.7,32.6,116.6,110.7
Detroit Pistons,1991,52,45,63.5,44.4,100.3,100.2
Sacramento Kings,1991,40,43,62.5,4.7,100.1,96.8
Philadelphia 76ers,1991,44,46,59.1,34.8,104.7,101.4
